                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.04658,                0.97917,                      1,                  1.293,             0.00026161,             0.00026161,             0.00026161
                     66,                0.03258,                0.98333,                      1,                 1.2941,             0.00025454,             0.00025454,             0.00025454
                     67,                0.03539,                0.98333,                      1,                 1.2917,             0.00024747,             0.00024747,             0.00024747
                     68,                0.03232,                0.98333,                      1,                 1.2915,              0.0002404,              0.0002404,              0.0002404
                     69,                0.03713,                 0.9875,                      1,                 1.2913,             0.00023334,             0.00023334,             0.00023334
                     70,                0.02851,                 0.9875,                      1,                 1.2919,             0.00022627,             0.00022627,             0.00022627
                     71,                0.03096,                 0.9875,                      1,                 1.2911,              0.0002192,              0.0002192,              0.0002192
                     72,                0.02388,                0.98333,                      1,                 1.2947,             0.00021213,             0.00021213,             0.00021213
                     73,                0.03268,                0.97917,                      1,                 1.2916,             0.00020506,             0.00020506,             0.00020506
                     74,                0.03539,                0.97917,                      1,                 1.2927,             0.00019799,             0.00019799,             0.00019799
                     75,                0.02826,                0.97917,                      1,                 1.2927,             0.00019092,             0.00019092,             0.00019092
                     76,                 0.0318,                0.97917,                      1,                 1.2917,             0.00018385,             0.00018385,             0.00018385
                     77,                0.03827,                0.98333,                      1,                 1.2954,             0.00017679,             0.00017679,             0.00017679
                     78,                0.02712,                0.98333,                      1,                 1.2926,             0.00016972,             0.00016972,             0.00016972
                     79,                0.02613,                0.97917,                      1,                 1.2933,             0.00016265,             0.00016265,             0.00016265
                     80,                0.02873,                0.98333,                      1,                 1.2924,             0.00015558,             0.00015558,             0.00015558
                     81,                0.02329,                0.97917,                      1,                  1.297,             0.00014851,             0.00014851,             0.00014851
                     82,                0.02951,                0.97917,                0.99583,                  1.302,             0.00014144,             0.00014144,             0.00014144
                     83,                0.03739,                0.97917,                0.99583,                 1.2953,             0.00013437,             0.00013437,             0.00013437
                     84,                0.02555,                0.97917,                      1,                 1.3004,             0.00012731,             0.00012731,             0.00012731
                     85,                0.02514,                0.97917,                      1,                 1.2972,             0.00012024,             0.00012024,             0.00012024
                     86,                0.02353,                0.98333,                      1,                 1.2937,             0.00011317,             0.00011317,             0.00011317
                     87,                0.02715,                0.97917,                      1,                 1.2932,              0.0001061,              0.0001061,              0.0001061
                     88,                0.02725,                0.97917,                      1,                 1.2929,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 0.0326,                0.97917,                      1,                 1.2943,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.02511,                0.97917,                      1,                 1.2946,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.03003,                0.97917,                      1,                 1.2952,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.02751,                0.97917,                      1,                 1.2977,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.03149,                0.97917,                      1,                 1.2974,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.02771,                0.97917,                      1,                 1.2977,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.02417,                0.97917,                      1,                 1.2943,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 0.0238,                0.97917,                      1,                 1.2955,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.01856,                0.97917,                      1,                 1.2976,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.01821,                0.97917,                      1,                 1.2969,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.02695,                0.97917,                      1,                  1.293,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.02107,                0.97917,                      1,                 1.2937,             1.4209e-05,             1.4209e-05,             1.4209e-05
